TF,Target
CNKSR3,HAPLN1
MYNN,REV3L
BTBD10,AKAP2
GPC3,MORC3
CCDC82,KLHL4
GDF3,ALCAM
MYCT1,KLF10
PLK2,MOSPD1
DERA,ZBTB11
SYNC,COL5A1
PTGR1,GYPA
NIPSNAP3A,SLC39A8
CYP26A1,DUSP11
ERCC-00009,ASS1
PLXNA2,ANKRD6
HIBCH,ERCC-00022
CLK1,FREM1
PLXNA2,LEPREL1
USP31,CDC23
DEPDC1B,DCAF6
HTRA1,CCDC66
MFAP4,ERCC-00022
ANXA3,CEP55
ERCC-00074,LHX1
HLA-DQB1,ZDHHC21
ANGPT2,LGR5
FARSB,LUM
BMP2,YPEL5
MYCT1,ARMCX3
TMEM47,KIF23
RAD51AP1,ERCC-00130
FASTKD5,ANKRD6
FASTKD5,LEPREL1
ERCC-00136,LGALSL
COCH,COL4A1
NXT2,ZEB1
ODC1,FEZ1
ZNF518B,WDFY1
FREM1,ODC1
IGDCC4,ERCC-00096
ANKRD28,CD48
ZNF138,MAN1A1
ZUFSP,BCL11A
MID1,SERHL2
LUM,ANKRD6
LUM,LEPREL1
ASH2L,NFIB
PARPBP,FBXO5
MFAP4,ACTC1
ACOX3,GABPA
TBX3,TDP2
CEP70,PLAU
ZEB2,CHEK2
ERCC-00022,C4ORF46
CPE,GLRX
ID2,TBC1D23
FAM135A,DOCK7
LRRC40,FAM188A
PDCD4,TNFRSF11B
KIF18A,DUSP4
CAP2,ST6GALNAC3
CASD1,ERCC-00111
ST8SIA1,ERCC-00060
C3ORF14,ERCC-00042
ATL2,RNF13
KRCC1,ERCC-00002
DERA,ERCC-00095
KDR,PDCD4
NUDT10,ASS1
RRM2B,DUSP4
CLGN,HAS2
MMP16,ZNF138
NID1,ANKMY2
NANOG,CDC7
ERCC-00044,MELK
FAM188A,MFAP4
RPE,CA2
PLAA,ODC1
C3ORF14,GRPR
VASH2,INSIG2
ZNF268,CENPQ
KIAA1324L,CLK1
LYPLAL1,BMP4
C5ORF22,TMX3
ZUFSP,CAMK2D
LPGAT1,PLK4
ST8SIA1,TSPAN12
SLC6A15,SKA3
MCCC1,ARG2
GPSM2,ZEB2
PCDH7,CDH11
B3GNT5,CYP1B1
CDK6,COL5A2
NUDT11,FASTKD1
PENK,EXO1
ERCC-00131,NDC80
COL4A1,PENK
PGM2,PLK1
ZDHHC21,HAS2
KIAA1467,ST8SIA1
ST8SIA1,DEPDC1B
RHOBTB3,BMP2
USP53,PAM
DECR1,MMP16
USP53,CEP55
CRYZL1,MOSPD1
MTERF,BMPER
BTBD10,OTUD6B
KIF23,GDAP1
ITFG1,IPO11
GFM1,UTP15
MME,ERCC-00145
FAM117B,C5ORF22
ZNF791,PROM1
CD9,TNFAIP8
LIPG,DNA2
BTBD10,NUDT11
TADA1,WNT5A
SENP7,GLMN
RNFT1,ZNF516
TMEM47,ESRP1
LHX1,MYOCD
RAD51AP1,ERCC-00025
DCUN1D4,NDFIP2
FBXL5,EFNA5
ARL4A,SH3BGRL
SORL1,HSF2
PRDM1,PRPS2
ERCC-00113,CD48
ROR2,IL6ST
ST6GALNAC3,CLK1
EFNA5,DYRK2
PHC1,ERCC-00044
LRRCC1,DCUN1D4
TBPL1,UBE2D1
PELI2,HAND1
ST6GALNAC3,DECR1
LGR5,RNF138
MID1,STC1
MRS2,BMPER
CDK6,MTERFD1
MRS2,KLHL12
DDX20,MLLT3
WDR41,GLDC
OTX2,MTMR2
ARMC8,PLAU
SLC19A2,USP31
ERCC-00003,SPPL2A
LHX1,RAVER2
GLDC,PAM
SERPINE2,SLC38A9
NCAPG,CLGN
HPRT1,NRP1
WDFY1,ST8SIA4
KAT7,ERCC-00113
VIM,LTN1
FBXO11,CLK1
KIAA0528,TRIM36
ERCC-00108,TMX3
SLC46A3,STAT1
HAND1,ERCC-00043
STK17B,NODAL
CER1,NLGN4X
ENC1,ROR2
HLA-DQB1,WDR35
PRSS23,COCH
ELL2,IPO11
UBE2D1,SEMA3A
IGDCC4,CTSK
VASH2,NODAL
DYRK2,SYNC
FBXO11,DECR1
PERP,ANKRD6
SLC38A9,CNKSR3
PERP,LEPREL1
ERCC-00004,UBE2W
PLK1,UTP15
ASNS,C5ORF22
COL5A2,ARMC8
DERA,FASTKD1
PRSS23,TADA1
PRDM1,ANKRD28
NID1,PCDH7
PLAU,GYPA
ERCC-00043,TSPAN12
KBTBD2,PLAU
PPPDE1,LHX1
ANKRD28,MME
ST3GAL6,TDRD7
SLCO2A1,AGL
ZNF791,APLNR
PGM2,SLC18A2
PLXNA2,FER
CDH11,GATA4
GFM1,ELOVL2
PLAA,BCAP29
GTF2B,ERCC-00044
GATA4,ODC1
CTSK,RGPD2
COL1A2,UBE2W
ERCC-00043,DEPDC1B
ST8SIA4,ERCC-00060
WDR35,NDC80
PRSS23,ERCC-00131
MCC,MYNN
GNG11,SEMA6D
ZFYVE16,ZNF518B
TADA1,KLHL28
NFIB,PLP1
FASTKD5,FER
GLMN,MAP4K3
ERCC-00022,ITFG1
CCNA2,WDFY1
ERCC-00009,FOS
TFPI,MAN1A1
C12ORF23,ECT2
ITFG1,GLDC
ERCC-00062,KIAA1467
DDX20,PHC1
DUSP10,ANGPT2
APLNR,GTF2H2D
CER1,B4GALT4
MCC,CLDN11
GYPA,PLK2
ST8SIA1,AXL
ID2,KAL1
KAL1,PIP4K2A
TNFRSF11B,GPC3
COL5A2,EFTUD1
CCNA2,CLK1
ZNF521,MPHOSPH9
UBE2W,USP31
ARMC8,MTMR6
MFAP4,RFPL2
PDLIM3,GRPEL2
SEMA6D,ARMC8
ERCC-00002,CENPC1
SFRP1,NID1
ANKRD6,UBE2D1
CRHBP,SLC39A8
PIK3R5,EPHA4
KAT7,RNFT1
RFESD,SLC38A9
SENP7,NUP35
ERCC-00002,PELI2
SYNC,RND3
RALB,ASH2L
AXL,RGPD2
CENPC1,LTN1
USP53,EFNA5
COMMD10,GYPA
CLGN,LGR4
KLHL24,LYPLAL1
CEP70,EPCAM
CCDC82,PIK3R5
PLCB4,BCL11A
WLS,ARMC8
PLK1,ELOVL2
DDX20,WWP1
KBTBD2,MTMR6
CRHBP,TMX3
RPL17-C18ORF32,DCUN1D4
GTF2H2D,ATL2
ARHGAP28,GATA6
PGM2,COBLL1
NODAL,NUDT10
NID1,QPCT
IGDCC4,KIAA1804
LHX1,PLK4
ERCC-00113,MME
DEPDC1B,MCCC1
GLIPR2,RHOBTB3
ELL2,GLDC
RHOBTB3,NODAL
TFB2M,FASTKD1
NRP1,ZNF280B
MLLT3,ACTC1
SEMA6D,EFTUD1
ERCC-00136,PRSS23
CTSK,PTGR1
SLC39A8,CD200
SEC24D,COMMD10
GPR83,OXTR
FZD5,ANGPT2
ERCC-00060,PLK2
ZEB2,EPHA4
SORL1,ERCC-00009
PLCB4,CAMK2D
FAM173B,FAM89A
WWP1,RNF138
PPIP5K2,UBE2D1
FARSB,DCAF6
RGS5,FREM1
GLDC,EFNA5
SLC38A9,ARG2
VASH2,NUDT10
KIF4A,PMAIP1
RLF,GTF2H2D
PRKRIR,CELF2
MAP4K3,SEMA5A
GABRB2,ERCC8
WNT5A,ERCC-00092
NID1,FBXL5
ERCC8,ARHGAP28
IPO8,ERCC-00112
CASD1,C3ORF58
MYCT1,CDH11
FASTKD3,DUSP10
MAN1A1,IPO8
SFRP2,ID2
EOMES,TMEM47
KIAA1324L,MCC
DCUN1D4,ERCC-00108
MCC,PRKRIR
BLM,TTC14
RGPD2,TTK
ARHGAP28,PPIP5K2
ITGA6,BLM
ERCC-00043,AXL
KAT7,TMOD1
CHL1,C1ORF112
ARMC8,KIF15
CALB1,LIPG
ERCC-00062,CYP1B1
COCH,GATA6
ANKRD6,GABRB2
PLK4,TFPI
DCAF6,LIFR
ITGA6,HLA-DRB1
LGR4,PPPDE1
GPR83,KDELR3
TRIM36,SFRP2
PARPBP,PGM2
MTMR2,OXR1
RLF,FAM188A
IPO11,DERA
TMCC1,ERBB4
ANXA3,EOMES
RFPL2,C1ORF112
EFTUD1,SLC18A2
FBXL5,NRP2
KRCC1,ATG4C
LGR4,ARFGAP3
PERP,FER
OTUD6B,BMP4
HAND1,PPPDE1
KLHL24,RFESD
TBX3,ZFYVE16
MYOCD,LGR4
ACTC1,DKK1
MTERF,NDFIP2
PROM1,GATA4
ERCC-00130,RGS5
MCC,IL6ST
IPO8,COQ3
KBTBD2,KIF15
DDAH1,PHLDA1
ERCC-00145,DCUN1D4
METTL18,ATL2
SEMA3A,SLC39A8
CBR1,NT5C3
PRSS35,HIBCH
LECT1,ARHGAP28
RGS5,TNFRSF11B
GTF2H2D,TRDN
LEPREL1,DUSP10
ST6GALNAC3,MCC
CCDC138,SEMA3A
RND3,PLCB4
YEATS4,PTGR1
HAS2,ERCC8
C11ORF82,ORC5
CDH11,NUP35
MRE11A,PRMT6
LYPLAL1,ERCC-00060
LRIG3,PCDH7
ROR2,CDCA2
ROR2,POLR3G
MAGI3,ALG11
GATA6,ZBTB11
KBTBD2,EPCAM
LIPG,KIAA1467
NUDT10,EPCAM
HDHD2,BCL11A
HPRT1,DKK4
NDC80,PLK1
PPIP5K2,GABRB2
GABRB2,RHAG
PIBF1,PLCB4
MCC,TFB2M
C4ORF46,RNF138
MELK,BMPER
MRS2,NDFIP2
MELK,KLHL12
TADA1,BCAP29
AKAP2,SLC19A2
LYPLAL1,TSPAN12
LRRC40,SLCO2A1
OTUD6B,COL1A2
FEZ1,SERHL2
MCC,TTC39B
TSPAN12,SEMA3A
FBXO11,MCC
KIF18A,HAND1
MCC,CHL1
RHOBTB3,NUDT10
OXTR,SLC38A9
LYPLAL1,DEPDC1B
RRM2B,HAND1
NIPSNAP3A,RPE
ANAPC4,FEZ1
SLCO2A1,GLRX
ASH2L,ERCC-00112
USP53,EOMES
EFTUD1,COBLL1
HPRT1,CLDN11
ITGA6,VIM
PGM2,SKA3
DOCK7,ZUFSP
KLHL24,CCDC138
DCUN1D4,ARL4A
NDFIP2,COMMD10
PRKRIR,FASTKD3
GATA6,ERCC-00095
DUSP10,LRRC40
ERCC-00044,HIBCH
PHC1,EOMES
MELK,DRAM2
HEG1,MBOAT1
EPCAM,NT5C3
ERCC-00145,CDK6
CA2,ANGPT2
NAP1L3,SLC39A8
CDK1,BCL11A
DUSP4,SLC35A3
RSPO3,ECT2
PTPRZ1,ESRP1
MANEA,GYPA
GABRB2,ASS1
ATG4C,RALB
DKK4,FLRT3
HAS2,RHAG
MLLT3,RFPL2
ERCC-00004,ERCC-00046
CTSK,STAT1
C5ORF22,ZNF518B
CD48,ZUFSP
HSD17B11,YEATS4
SKA3,CAP2
ABCA1,PALLD
SFRP2,PLAA
ASH2L,COQ3
TTK,DNAJB9
LIFR,ZNF302
CYP26A1,UGGT2
KIAA0528,IFI16
ORC5,OXTR
PRMT6,PLCB4
MLF1IP,SIRT1
EPHA4,ZNF302
AK4,KLHL4
USP53,NRP2
COL4A1,MID1
RPE,PMAIP1
NLGN4X,ARHGAP29
APOBEC3G,ZNF138
NAP1L3,TMX3
ERCC-00009,PLOD2
GDAP1,VAMP7
ERCC-00095,PALLD
CEP55,MAN1A1
DYRK2,KBTBD2
GATM,ARHGAP29
ZNF280B,PDE3B
COL1A2,ERCC-00046
REV3L,ASH2L
ERCC-00095,ERCC-00043
USP31,ZNF280B
FOS,CCNA2
BNIP3,CD9
PDGFRA,TFPI
CDK1,CAMK2D
CPE,CLGN
KLHL24,PRICKLE1
LIPG,CYP1B1
SERHL2,PDLIM3
SKA3,LYPLAL1
FAM135A,SEMA3A
FEZ1,STC1
CDK6,HSD17B11
FBXO28,TNFAIP8
SLC19A2,PERP
FASTKD3,CENPQ
GPR83,NCAPG
TOM1L1,TMEM64
TRDN,HIBCH
CTSK,SERPINE2
PLXNA2,EXO1
PIK3R5,BAG3
BMPER,SLC38A9
OXR1,CCKBR
ARHGAP28,KLHL24
ARMCX3,TMX3
TMEM47,GRPEL2
ABCA1,CALB1
MRE11A,SLC46A3
FOS,VAMP7
GLMN,KIF4A
ORC5,KDELR3
GLIPR2,LIFR
PRTG,ERCC-00092
RAD51AP1,PRPS2
ID2,FBXO5
GRPEL2,ZNF791
NUDT10,PLOD2
GLDC,NRP2
HAS2,ASS1
CCKBR,ZIC3
NXT2,GABRB2
CEP70,CD48
ERCC-00095,CALB1
NIPSNAP3A,ZNF670
IGDCC4,DUSP4
STK38L,ERCC8
GLDC,GCA
CYP26A1,ERCC-00111
FREM1,WDFY1
KLHL24,FAM54B
CCDC66,CER1
LYPLAL1,AXL
ERCC-00108,RPE
CD9,CBR1
SMN1,GYPB
RAVER2,ERCC-00130
ERCC-00108,ZNF518B
B4GALT4,CYP26A1
FREM1,CLK1
BTBD10,ALCAM
KLHL4,CCDC81
TBPL1,ERCC-00004
BMP4,KIAA0528
GATA6,FASTKD1
NFIB,SLC18A2
YEATS4,STAT1
KLHL24,ST6GALNAC3
MTERF,ERCC-00108
FZD5,RSPO3
IPO8,ITFG1
PIK3R5,FAM46A
FAM54B,ATL2
AXL,SERPINE2
LEPREL1,CENPQ
HPRT1,IL6ST
SORL1,NID1
CHEK2,PDGFRA
DNAJB14,ZNF567
TOM1L1,ZNF268
MBOAT1,TMCC1
COCH,KLHL24
ACTC1,TRUB1
CHEK2,ASUN
TRIM36,ERCC-00108
DUSP11,GABPA
PGM2,CENPC1
COL5A1,PHLDA1
CAMK2D,TMEM64
BMP2,CCKBR
C3ORF58,STK38L
GRPEL2,VWA5A
VAMP7,CAP2
DTL,CCNA2
SERHL2,BMP4
PLAA,CLK1
UBE2W,PERP
CLDN11,CNTRL
MMP16,LUM
EFTUD1,SKA3
KIF15,PRMT6
KIAA1467,RAD51AP1
GYPE,ALG6
TIPIN,ERCC-00111
GPR83,ELL2
PLAA,DECR1
FAM46A,TNFAIP8
LECT1,GNAI1
CNTRL,MELK
ITGA6,STK17B
ASS1,HAS2
KIF23,RNF138
HSF2,GATM
NID1,MTMR2
ARHGAP28,ST3GAL6
SH3BGRL2,PIBF1
RNFT1,ANKRD13C
ERCC-00171,ELOVL2
STC1,DTL
TNFAIP8,ERCC-00062
STAT1,CAP2
ZNF302,LPIN1
AGL,MYCT1
FBXO5,ERCC-00044
HSD17B11,DKK1
VAMP7,LYPLAL1
DTL,VAMP7
ODC1,DUSP10
ATG4C,MELK
MALT1,NID1
ERCC-00096,PDE3B
ITGA5,ANKRD6
ZEB2,FAM46A
PRTG,SORL1
CNKSR3,BLM
TMX3,LTN1
MRE11A,NAP1L3
TNFRSF11B,ERCC-00022
ERCC-00171,FOS
ANKRD28,CELF2
CER1,DNA2
MTMR6,CDC23
ACOX3,SLC6A15
TTC39B,STC1
GNAI1,MTMR6
FAM69A,WDFY1
GLRX,WLS
NFIB,COBLL1
CNKSR3,HLA-DRB1
ARHGAP29,WDFY1
BNIP3,TTC14
SERHL2,COL1A2
CAMK2D,ENC1
DDAH1,MAP4K3
GDAP1,COL4A1
STAT1,LYPLAL1
SPPL2A,SLC38A9
ATL2,NT5C3
TMEM38B,LTN1
MORC3,ERCC-00171
RALB,ITGA5
OTX2,USP44
DKK1,ARFGAP3
CRHBP,RPE
IFI16,YPEL5
PRSS23,ST8SIA4
TFB2M,MPHOSPH9
ZNF567,COL1A2
FEZ1,MTERF
SENP7,SLC38A9
GRPR,KIF4A
ERCC-00108,ZNF670
GABRB2,FOS
TNFRSF11B,ACTC1
PLK4,TP53INP1
ZEB2,FASTKD3
NUDT10,CD48
NIPSNAP3A,RMI1
LPIN1,ASH2L
CEP70,HBP1
CCNE2,ZEB1
C5ORF22,LECT1
FAM54B,TRDN
MAN1A1,UTP15
PERP,EXO1
TTC39B,CDH11
NT5C3,WLS
RNF138,YEATS4
SEMA5A,MOSPD1
MTERF,ARL4A
NTS,RGS5
CEP70,MME
OTUD6B,TSPAN12
CA2,LRRC40
TTC14,MALT1
FOS,COL4A1
ERCC-00131,ALG11
ARG2,ST8SIA4
MCC,SENP7
KIAA1467,CLGN
KLHL28,ZFYVE16
DECR1,PLK1
CNKSR3,ITGA6
OTUD6B,DEPDC1B
LUM,BTBD10
ORC5,NCAPG
ERCC-00076,WDFY1
GNG11,DNAJB9
CASD1,PLAU
AKAP2,GLMN
CD9,FARSB
GATA4,CLK1
ABCA1,MAGI3
GDF3,ASH2L
KIAA0528,ERCC-00136
SEMA5A,KDELR3
ST6GALNAC3,FAM173B
ZNF518B,PPIP5K2
RAD51AP1,ID2
VPS54,KIAA1804
VAMP7,RFESD
ERCC-00113,CELF2
PPIP5K2,ERCC-00004
VIM,ERCC-00062
LGR5,SERHL2
PENK,ATL2
CDC23,GFM1
DNAJB14,ST8SIA1
CELF2,ZNF138
WDFY1,SLC19A2
TBX3,DOCK7
ERCC-00009,CHEK2
KLHL4,DDX20
AK4,PIK3R5
FBXO28,TDP2
TP53INP1,ERCC-00022
KIF15,SLC46A3
CDCA2,USP31
NDFIP2,FAM117B
CNKSR3,VIM
GLMN,WLS
LTN1,ZNF521
GNAI1,KIF15
EFTUD1,CENPC1
EXO1,CYP26A1
COBLL1,CRHBP
FAM69A,GYPE
COLEC12,HDHD2
ARHGAP29,GYPE
MRS2,GDAP1
UGGT2,ERCC-00044
STAT1,RFESD
KIT,FBN1
TTK,LHX1
FBXO11,FAM173B
MLF1IP,GPSM2
EFNA5,GATA4
MCCC1,YPEL5
SLC35A3,MALT1
SFRP2,RGPD2
PAM,PPM1H
PDGFRA,TADA1
ZNF521,CNTRL
DYRK2,SFRP1
ERCC-00112,SH3BGRL
TMEM64,PRDM1
COCH,B3GNT5
MAN1A1,ELOVL2
CRHBP,ZNF670
MPHOSPH9,MYOCD
ARMC8,HBP1
SLC35A3,ENC1
HLA-DQB1,PTPRZ1
COQ3,GYPA
ZDHHC21,IPO8
PAM,NTS
ANXA3,ELMOD2
PDLIM3,LUM
ERCC-00092,ZNF138
KIAA0528,PARPBP
NUDT10,CHEK2
ORC5,ELL2
DTL,COL4A1
SEMA3A,RPE
ECT2,PIK3R5
ASS1,LGR4
BMP4,MYCT1
ANKRD28,AKAP2
ZNF518B,FLRT3
RGPD2,AMIGO2
KIT,ROR2
TTC39B,MTERF
NLGN4X,METTL18
ABCA1,FASTKD5
SKA3,FAM54B
CYP26A1,C3ORF58
ANAPC4,ZNF302
ERCC-00108,RMI1
NDFIP2,CSTF1
GLDC,C3ORF14
B3GNT2,MTMR6
VAMP7,CCDC138
OTUD6B,ARG2
GLDC,WDR41
NANOG,NCAPG
TADA1,DECR1
FBXL5,WNT5A
KBTBD2,HBP1
ERCC-00076,GYPE
CCDC81,GYPA
NFIB,SKA3
KIAA1324L,FLRT3
MPHOSPH9,HEG1
GYPA,ZNF791
SERPINE2,LIFR
ESRP1,PDCD4
ERCC-00111,HEG1
C12ORF23,TMX3
LRIG3,MTMR2
ERCC-00046,SEMA3E
KIAA1804,MYCT1
SLC18A2,PLAU
C4ORF46,KLF10
ODC1,CENPQ
ENC1,KLHL4
GABPA,MRS2
KBTBD2,MME
MLLT3,TMEM38B
NUDT10,MME
FAM46A,TDP2
PMAIP1,CCKBR
RNF138,DKK1
PLK2,MALT1
OTUD6B,AXL
LGR5,STC1
STAT1,CCDC138
PDGFRA,TP53INP1
DDX20,ACOX3
CAP2,PRDM1
HAND1,FASTKD1
TRUB1,CDK6
HPRT1,CDCA2
HPRT1,POLR3G
AMIGO2,ZNF518B
PENK,TRDN
ERCC-00042,PIK3R5
ERCC-00131,CDC20
C4ORF46,ARMCX3
PIP4K2A,LUM
PCDH7,TNFAIP8
PLAA,MCC
ERCC-00130,PRIM1
ARMC8,PIBF1
KIF15,NAP1L3
EXO1,PRSS35
MLF1IP,TMCC1
SFRP2,PTGR1
SLC6A15,LGALSL
TNFRSF11B,RFPL2
TIPIN,C3ORF58
ANXA3,WNT5A
SFRP1,FBN1
GTF2B,METTL18
DLC1,TMEM64
STK38L,ELOVL2
ALG11,CPE
COL5A1,MAP4K3
UBE2D1,SEMA3E
GYPA,VWA5A
KLHL28,SFRP1
MORC3,BUB1B
NAP1L3,RPE
RALB,HPRT1
GRPR,WLS
CRYZL1,TMEM64
PHC1,ELMOD2
KLHL4,NXT2
ITGA6,KIF23
RAD51AP1,PLAA
ERCC-00113,AKAP2
NID1,PRTG
TMOD1,ERCC-00171
MOSPD1,SPPL2A
TMOD1,LPGAT1
TDRD7,SEMA3E
OTX2,GLIPR2
SLC6A15,SLC35A3
NDC80,CENPC1
STK38L,FOS
ANKRD28,OTUD6B
PRKRIR,ERBB4
WWP1,SERHL2
CDK6,MOSPD1
ERCC-00002,SLC35A3
GRPEL2,TDRD7
ALG11,MRS2
NDC80,PELI2
CCNA2,PPIP5K2
GCA,C12ORF23
FBXL5,KLHL28
REV3L,ITGA5
DNAJB9,ZNF516
IGDCC4,HAND1
SEMA3A,ZNF670
SFRP1,ROR2
SLC18A2,MTMR6
ERCC-00074,LTN1
B3GNT2,KIF15
SLC46A3,ZNF791
CRHBP,RMI1
ZUFSP,PLCB4
ZEB1,WDFY1
MID1,SH3BGRL2
ARMCX3,RPE
B4GALT4,HAPLN1
ELMOD2,BMP2
ERCC-00003,PROM1
ESRP1,C11ORF82
CASD1,EPCAM
VAMP7,FAM54B
ARMCX3,ZNF518B
ERCC-00112,ESCO2
PDCD4,YEATS4
AGL,TBX3
SERHL2,TSPAN12
MAP4K3,PENK
CRYZL1,MALT1
MBOAT1,PAM
MBOAT1,CEP55
DLC1,ENC1
FBXO5,EOMES
FASTKD3,SIRT1
KDR,IPO8
RAVER2,TBPL1
ANGPT2,MYCT1
GCA,BNIP3
CRYZL1,ENC1
USP53,WNT5A
ZNF567,TSPAN12
GABRB2,PLOD2
SEC24D,DLC1
FAM117B,ZNF521
STAT1,FAM54B
SERHL2,DEPDC1B
EFNA5,NUP35
FAM89A,ASNS
ANXA3,KLHL28
KIF23,KLF10
RPE,ZNF516
QPCT,BUB1B
GLDC,ARL4D
ZIC3,KDELR3
LGALSL,MMP16
FBXO3,MLF1IP
DRAM2,GYPB
SLC46A3,VWA5A
ALPK2,HAS2
GPSM2,ANKMY2
S1PR3,SPPL2A
NUP35,C5ORF22
KLF10,CDK1
GATA4,MCC
CCNA2,FLRT3
KIF23,ARMCX3
HBP1,TRUB1
ITGA6,ESRP1
ZNF516,ERCC-00046
WDFY1,GATA4
ABCA1,ZBTB11
ARL4A,TTK
GNG11,LHX1
ERCC-00113,OTUD6B
SLC38A9,YPEL5
ERCC8,GDF3
ERCC-00009,EPHA4
LGR5,MTERF
NAP1L3,ZNF670
CDC23,ERCC-00002
CHEK2,SEMA3A
ERCC-00095,ZBTB11
WWP1,STC1
KLHL6,TNFAIP8
CD200,CCNA2
ERCC-00003,APLNR
SLC18A2,KIF15
ITGA6,KDR
KLHL4,DNAJB14
DCAF6,APOBEC3G
TDP2,RSPO3
ZNF518B,ST3GAL6
ATG4C,HIBCH
ARFGAP3,RNF13
HMMR,STK38L
MELK,GDAP1
HAS2,PLOD2
COBLL1,GNAI1
ABCA1,COL5A1
ZEB1,GYPE
APOBEC3G,LUM
CSTF1,SIRT1
MID1,REV3L
PLAU,HDHD2
GYPB,PRMT6
KIF18A,FAM89A
DCAF6,ERCC-00060
USP53,KLHL28
WDR41,HEG1
C11ORF82,PDE3B
ABCA1,ERCC-00095
CD200,VAMP7
SFRP2,STAT1
PAM,CA2
SEMA3A,RMI1
ERCC-00096,COMMD10
LPGAT1,ORC5
EPCAM,CCDC81
AMIGO2,LECT1
SERHL2,ARG2
LECT1,GDF3
CALB1,LPIN1
DNA2,RHOBTB3
ERCC-00025,DNA2
FBXO3,PDCD4
ARL4D,ERCC-00044
PARPBP,DDAH1
PPM1H,APOBEC3G
ZNF670,MYNN
ZNF567,ARG2
ERCC-00131,FEZ1
ACOX3,GYPA
CCNE2,APOBEC3G
ARHGAP28,FBXO11
CYP26A1,ASS1
RSPO3,TMX3
RAVER2,PRPS2
SERHL2,AXL
TMEM47,LUM
CENPC1,NT5C3
NCAM1,MYNN
PDCD4,DKK1
TBC1D23,CCNE2
MYCT1,TNFAIP8
PPPDE1,LTN1
NIPSNAP3A,RLF
CD9,PDGFRA
ERCC-00046,S1PR3
SLCO2A1,ARHGAP28
GPSM2,PCDH7
MBOAT1,EFNA5
KLHL28,DOCK7
LPIN1,ITGA5
ENC1,PIK3R5
OXTR,LIFR
CCDC138,SEMA3E
FAM117B,MBOAT1
SFRP2,SERPINE2
PPM1H,UBE2D1
ALCAM,CCNA2
ROR2,ERCC-00043
CD9,ASUN
SEC24D,AGL
CCNE2,UBE2D1
DRAM2,CPE
CCDC66,PDCD4
NDFIP2,DLC1
ELMOD2,NODAL
RALB,KLHL6
IPO8,ERCC-00145
BMP4,TBX3
EXO1,HAPLN1
ASUN,BLM
FBXL5,BCAP29
RNF13,S1PR3
RNF13,OXR1
SLC6A15,PRSS23
CDCA2,PERP
PALLD,DKK1
ERCC-00130,KIAA1467
PIK3R5,SEC24D
TSPAN12,SEMA3E
FER,CRYZL1
NID1,USP44
WDR48,CRYZL1
RNFT1,CER1
COL1A2,SYNC
REV3L,HPRT1
PHLDA1,RSPO3
ZEB2,ERBB4
KIT,ERCC-00074
TFPI,ARHGAP29
NAP1L3,RMI1
FZD5,SLC39A8
GDF3,ITGA5
KIAA1804,TBX3
EOMES,BTBD10
TRUB1,GPC3
C4ORF46,CDH11
CENPQ,KBTBD2
KLF10,ZNF268
ITGA5,EXO1
FLRT3,S1PR3
ZDHHC21,UTP15
NODAL,ZUFSP
B3GNT5,ERCC-00044
GPR83,RRM2B
ACTC1,TBC1D23
HAS2,CD48
ALPK2,LGR4
WWP1,MTERF
ASNS,MBOAT1
CCKBR,MLLT3
GLDC,ODC1
DUSP10,STK3
NTS,PRIM1
ZEB2,SEC24D
PLXNA2,ATL2
TOM1L1,GTF2H2D
PTGR1,IPO11
ERCC-00095,FASTKD1
ERCC-00022,HAS2
ELL2,HEG1
GYPB,SLC46A3
RAD51AP1,RGPD2
SEMA3E,GFM1
WDFY1,NUP35
DDAH1,TFPI
STK17B,ZUFSP
GPSM2,QPCT
SNX14,ST8SIA1
GYPA,TDRD7
ST8SIA4,CD9
DUSP11,SLC6A15
MRS2,RNF138
FASTKD5,ATL2
BMPER,LIFR
LRRC40,SPPL2A
CCNA2,ST3GAL6
PRPS2,EFTUD1
ZNF670,PRKRIR
GNAI1,HBP1
ST8SIA1,TTC14
PRDM1,PLK2
QPCT,MORC3
HSF2,ERCC-00096
PLAA,FAM173B
CNKSR3,KIF23
RGPD2,PRMT6
ERCC-00145,ACTC1
CCDC66,C11ORF82
COL5A1,KIF4A
NCAM1,PRKRIR
TMCC1,ASH2L
UTP15,CCNA2
MLF1IP,PAM
MLF1IP,CEP55
TBX3,SEMA3A
DECR1,CENPC1
CASD1,CD48
TFB2M,CNTRL
PNPLA8,FEZ1
LGR4,MPHOSPH9
DECR1,PELI2
PGM2,LGALSL
FASTKD3,GPSM2
ASH2L,ERCC-00145
FAM135A,SEMA3E
CYP1B1,CAP2
ZIC3,ELL2
C12ORF23,ZNF518B
GPSM2,FBXL5
GYPE,KIAA1324L
HAND1,MPHOSPH9
EPCAM,DDX20
ERCC-00130,CYP1B1
GLIPR2,ERCC-00060
HIBCH,RGS5
AXL,KIAA1324L
CCKBR,PHC1
MFAP4,RGS5
COBLL1,NDC80
PDE3B,METTL18
SFRP1,ERCC-00074
FREM1,PPIP5K2
COL5A2,MMP16
USP53,BCAP29
CAMK2D,GTF2H2D
CD9,KIT
ELMOD2,NUDT10
PLP1,PIP4K2A
DNAJB14,RAD51AP1
WDR41,BMPER
NDFIP2,AGL
ATL2,CCDC81
ODC1,SIRT1
USP31,ERCC-00096
CENPQ,ZFYVE16
PRSS23,SLC19A2
CYP1B1,LYPLAL1
